,Date,Timestamp,Piligrims,Tonsures,Hundi,Speciality,Temperature,Condition,Tweets
82,24/03/2022,1648060200.0,63042,31218,4.18,"Nagulapuram Sri VNS Surya Puja, Float Begins",95,Broken clouds,[]
83,25/03/2022,1648146600.0,65418,33451,4.41,normal,95,Few clouds,"['\n?????? ?????? ??????????  63,042 ???? ??????? ????????????????. ???????? ?????????? 31,218 ???? ???????, ????? ????? ??.4.18 ??????\n ']"
84,26/03/2022,1648233000.0,69897,38099,3.92,normal,97,Few clouds,[]
85,27/03/2022,1648319400.0,71167,34688,4.46,normal,97,Clear sky,"['\nKoil Alwar Tirumanjanam, the ']"
86,28/03/2022,1648405800.0,64425,29476,4.43,"Ekadasi, Sravanam, Srinivasa Mangapuram Sri KVS Pushpayagam, Nagulapuram Sri VNS Surya Puja, Float Ends",99,Clear sky,"['', '\n??????: ????? ?????????? ????????????? 71,176 ???? ???????. ???????? ?????????? 34,688 ???? ???????. ????? ????? ??.4.46 ??????.']"
87,29/03/2022,1648492200.0,54396,29334,4.37,Annamacharya Vardhanthi,99,Few clouds,"['\n???\u200c? ???\u200c?\u200c?? ?????? ???\u200c????? ?????????', '\n???????????? ???????? ?????? \n\n???? ?????? ?????? ??????\n\n-??????']"
88,30/03/2022,1648578600.0,61224,33930,4.02,"Masasivaratri, Tirupati Sri Kodanda Rama Temple Brahmotsavam Begins",99,Clear sky,"['\n??????? ???? ???????? ???? ?????? ???????? ????. ', '\nThis generation gets cut on its entitlement or lack of work ethic or wants everything w/o paying the price.  Not here at Shen!6:00 am lineman agilities!']"
89,31/03/2022,1648665000.0,54273,28089,4.08,normal,100,Clear sky,[]
90,01/04/2022,1648751400.0,56958,26029,3.35,normal,97,Clear sky,"['', '', '\n??????: ?????? ?????????? ?????? ?????? ???????? ???????? ??????? ????? ?????. ????? ?????? ?????????? ??.128????? 61????? ?????. ?????????? ????????????? 19????? 72??? 656???? ???????. ???????? ?????????? ?????? ????? 9????? 48??? 587????. ']"
91,02/04/2022,1648837800.0,62925,33893,4.27,normal,97,Clear sky,['\n???????? ????????????? ?????????? ??????? ??????? ???? ???????????? ?????????? ??????? ?????????.']
92,03/04/2022,1648924200.0,71034,32291,3.38,normal,97,Clear sky,[]
93,04/04/2022,1649010600.0,66112,35727,4.64,normal,97,Partly cloudy,['\n@m3tomlins\n explores Performance-Driven Development at ']
94,05/04/2022,1649097000.0,61654,25920,4.35,normal,95,Clear sky,[]
95,06/04/2022,1649183400.0,68009,39518,4.1,normal,95,Broken clouds,"['\n37 ????????? ?????? ??? ????? ???????? ????? ??????? ???? ???????????? ???? ????????...\n\n????? ?????? ???????? ????? 2019 ???? ???? ???????? ??????.. ? ???????????? ?????????? ?????????? ??????????..', '\nLineman agilities back at it at 6:00 am!! Some things we got done today. 6-11 grade impressed with the turnout. ']"
96,07/04/2022,1649269800.0,65840,34135,4.19,normal,95,Clear sky,[]
97,08/04/2022,1649356200.0,60790,35106,4.36,Vayalpadu Sri PRS Pattabhishekam Ends,95,Clear sky,[]
98,09/04/2022,1649442600.0,70727,38970,3.88,normal,93,Clear sky,['\nNever donate even one Rupee to Hundi of ']
99,10/04/2022,1649529000.0,66593,31206,3.79,"Mahanavami , Tirumala Sri TT Rathotsavam",93,Broken clouds,['\nHUGE turn out at the Best Buddies Walk 2022! SHEN PRIDE  ']
100,11/04/2022,1649615400.0,63223,34547,4.72,"Ekadasi, Chaturmasyam Ends",93,Broken clouds,['\n???? ?????? ??????? ???????????? ???? ????? ??? \nYash  visited Tirumala Tirupati Temple today.']
101,12/04/2022,1649701800.0,72567,40468,4.32,"Gita Jayanthi, Ekadasi",95,Broken clouds,[]
